ahr-p1,ap1-agonist-p1,ar-bla-agonist-p1,ar-bla-antagonist-p1,ar-mda-kb2-luc-agonist-p1,ar-mda-kb2-luc-agonist-p3,ar-mda-kb2-luc-antagonist-p1,ar-mda-kb2-luc-antagonist-p2,are-bla-p1,aromatase-p1,car-agonist-p1,car-antagonist-p1,dt40-p1,elg1-luc-agonist-p1,er-bla-agonist-p2,er-bla-antagonist-p1,er-luc-bg1-4e2-agonist-p2,er-luc-bg1-4e2-agonist-p4,er-luc-bg1-4e2-antagonist-p1,er-luc-bg1-4e2-antagonist-p2,erb-bla-antagonist-p1,erb-bla-p1,err-p1,esre-bla-p1,fxr-bla-agonist-p2,fxr-bla-antagonist-p1,gh3-tre-agonist-p1,gh3-tre-antagonist-p1,gr-hela-bla-agonist-p1,gr-hela-bla-antagonist-p1,h2ax-cho-p2,hdac-p1,hre-bla-agonist-p1,hse-bla-p1,luc-biochem-p1,mitotox-p1,SMILES
,1.0,,,,0.0,,,0.0,,0.0,0.0,,,,,,0.0,,,0.0,0.0,1.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,CC3CCCCN3CCCOC(=O)c2ccc(OC1CCCCC1)cc2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brc2ccccc2c1ccccc1
1.0,1.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,Clc1cc(Cl)c(Cl)nc1OP(=S)(OCC)OCC
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OC(C)(C)c1ccc(cc1)C(C)(C)O
0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,OCC(=O)[C@@]4(O)[C@@H](C)C[C@@H]3[C@]4(C)C[C@H](O)[C@@]2(Cl)[C@H]3CCC1=CC(=O)C=C[C@@]12C
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,COc1ccccc1NC(=O)CC(C)=O
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,O=C(OCCCC)c1ccccc1C(=O)OCCCC
0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BrC(Br)Cl
,0.0,0.0,1.0,0.0,0.0,,1.0,1.0,,1.0,,,0.0,0.0,1.0,0.0,0.0,1.0,1.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,1.0,O=C\C=C(/c1ccccc1)c2ccccc2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C=CCc1ccc2OCOc2c1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,O=C(CCCCCCC/C=C\C/C=C\CCCCC)OC
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OCCc1ccncc1
0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,0.0,,1.0,0.0,,1.0,,0.0,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,Oc5cc1c3c4c(C(=O)c2c(O)cc(O)c(C(=O)C1(C)C)c23)c(O)cc(C)c45
1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,Nc1nc2ccccc2s1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BrCCCO
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CCCCCCCCOC(=O)CCCCCCCCC(=O)OCCCCCCCC
0.0,0.0,0.0,,0.0,0.0,1.0,1.0,1.0,,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,1.0,Oc2ccc(Cl)cc2Cc1ccccc1
1.0,0.0,0.0,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,1.0,1.0,Nc2ccc3C(=O)c1ccccc1C(=O)c3c2
1.0,0.0,0.0,,0.0,0.0,0.0,1.0,,0.0,1.0,1.0,0.0,1.0,1.0,0.0,,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,Cc1cc(ccc1N)c2ccc(N)c(C)c2
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,O=S1(=O)CCS(=O)(=O)C(C)=C1C
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C/C(=N\O)C(\C)=N\O
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C=O
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cc1cc(O)ccc1
0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,COC(C=C(C)CC\C=C(/C)C)OC
,1.0,,,,0.0,,0.0,,,0.0,1.0,,,,,,0.0,,1.0,1.0,0.0,,0.0,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,Clc1ccccc1C34OCC(C)N4CC(=O)Nc2ccc(Cl)cc23
